worldview_idx,worldview_name,risk_profile,multiplier,recipient_fund,weighted_allocation_pct,allocation_diff_pp,nashBargaining,credenceWeighted,mec,met,splitCycle,borda
0,Total Utilitarian,0,1.0,ea_awf,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0,Total Utilitarian,0,1.0,givewell,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0,Total Utilitarian,0,1.0,leaf,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0,Total Utilitarian,0,1.0,longview_ai,100.0000,0.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000
0,Total Utilitarian,0,1.0,longview_nuclear,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0,Total Utilitarian,0,1.0,navigation_fund_cagefree,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0,Total Utilitarian,0,1.0,navigation_fund_general,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0,Total Utilitarian,0,1.0,sentinel_bio,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0,Total Utilitarian,0,0.1,ea_awf,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0,Total Utilitarian,0,0.1,givewell,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0,Total Utilitarian,0,0.1,leaf,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0,Total Utilitarian,0,0.1,longview_ai,100.0000,0.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000
0,Total Utilitarian,0,0.1,longview_nuclear,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0,Total Utilitarian,0,0.1,navigation_fund_cagefree,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0,Total Utilitarian,0,0.1,navigation_fund_general,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0,Total Utilitarian,0,0.1,sentinel_bio,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0,Total Utilitarian,0,100,ea_awf,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0,Total Utilitarian,0,100,givewell,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0,Total Utilitarian,0,100,leaf,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0,Total Utilitarian,0,100,longview_ai,100.0000,0.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000
0,Total Utilitarian,0,100,longview_nuclear,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0,Total Utilitarian,0,100,navigation_fund_cagefree,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0,Total Utilitarian,0,100,navigation_fund_general,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0,Total Utilitarian,0,100,sentinel_bio,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0,Total Utilitarian,0,10,ea_awf,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0,Total Utilitarian,0,10,givewell,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0,Total Utilitarian,0,10,leaf,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0,Total Utilitarian,0,10,longview_ai,100.0000,0.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000
0,Total Utilitarian,0,10,longview_nuclear,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0,Total Utilitarian,0,10,navigation_fund_cagefree,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0,Total Utilitarian,0,10,navigation_fund_general,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0,Total Utilitarian,0,10,sentinel_bio,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0,Total Utilitarian,0,5,ea_awf,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0,Total Utilitarian,0,5,givewell,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0,Total Utilitarian,0,5,leaf,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0,Total Utilitarian,0,5,longview_ai,100.0000,0.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000
0,Total Utilitarian,0,5,longview_nuclear,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0,Total Utilitarian,0,5,navigation_fund_cagefree,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0,Total Utilitarian,0,5,navigation_fund_general,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0,Total Utilitarian,0,5,sentinel_bio,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0,Total Utilitarian,0,2,ea_awf,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0,Total Utilitarian,0,2,givewell,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0,Total Utilitarian,0,2,leaf,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0,Total Utilitarian,0,2,longview_ai,100.0000,0.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000
0,Total Utilitarian,0,2,longview_nuclear,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0,Total Utilitarian,0,2,navigation_fund_cagefree,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0,Total Utilitarian,0,2,navigation_fund_general,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0,Total Utilitarian,0,2,sentinel_bio,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
